"100","Skin care","Activase","Neostrata","100","120"
"101","Skin care","Acuvail","Vichy","101","95.1"
"102","Skin care","Adagen","SilkN","102","50.1"
"103","Skin care","Actimmune","Gergens","103","115.1"
"104","Skin care","Advair HFA","Garnier","104","100.1"
"105","Skin care","Adlyxin","Olay","105","25.15"
"106","Eye drop","Systane","Alcaftadine","50","150.25"
"107","hygiene","Good virtues","body wash","20","75"
"108","hygiene","Sunsilk","hand soap","10","20"
"109","healthcare","Sunsilk","Shampoo","50","120"
"110","medecine","Pantene","Conditioner","25","120"
"111","healthcare","Bajaj","Panadol","50","60"
"112","intimacy","Nivea","Alcaftadine","50","120"
"113","intimacy","Good Virtues","Face wash","75","120"
"114","healthcare","Bajaj","Doliprane","60","115"
"115","hygiene","Erycalm","Body wash","15","45"
"116","healthcare","Sensodyne","toothpaste","30","80"
"117","healthcare","brozers","piriton","20","15.15"
"118","medical equip","elianors","glucose tester","50","800.5"
"119","medical equip","elianors","blood pressure","20","1115.3"
